======================================================================
THE KERNEL — BONE v2 print run
N=320, column=4x4x18, seed=20260806, control=packed, dt=0.0005
----------------------------------------------------------------------
STATEMENT: A cold-ordered cushion-spaced column between two pinned
  anchor plates can be preloaded to 1.5x its end-weight, remain
  seated and intact, spring back elastically after half-release, and
  outperform a packed-bed control under overload.
PREDICTION: End gaps stay < R_C, zero escapees, force/length return
  within 10% after half-release, ordered deflection/load <= 1/2 of
  the packed-bed control under overload.
FALSIFIERS:
  (a) SEATING   — any end gap > r_c during preload hold
  (b) ESCAPE    — any column point with NN > r_c under preload
  (c) SPRING-BACK — force/length after release differ >10% from loading
  (d) ORDERED BEATS RANDOM — ordered deflection/load not 2x better
======================================================================

Derived end-weight = 1645.231
Derived F_pre      = 2467.847


[bone] N=320 column=288 plates=32
[bone] v_plate=0.05000 lu/tick, dt=0.0005
[bone] F_pre=2467.847

[bone] tick= 41500 phase=release      | closure=0.69697 | force=922.484 | length=0.26117 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1303 | clusters=   1 | bound=1.000
[bone] tick= 42000 phase=release      | closure=0.67196 | force=913.029 | length=0.24267 | gap_L=0.0340 | gap_R=0.0378 | escape=0 | deflect=0.1250 | clusters=   1 | bound=1.000
[bone] tick= 42500 phase=release      | closure=0.64696 | force=1065.306 | length=0.24292 | gap_L=0.0413 | gap_R=0.0416 | escape=0 | deflect=0.1262 | clusters=   1 | bound=1.000
[bone] tick= 43000 phase=release      | closure=0.62195 | force=1087.180 | length=0.25852 | gap_L=0.0451 | gap_R=0.0482 | escape=0 | deflect=0.1268 | clusters=   1 | bound=1.000
[bone] tick= 43500 phase=release      | closure=0.59695 | force=1033.554 | length=0.26568 | gap_L=0.0500 | gap_R=0.0581 | escape=0 | deflect=0.1275 | clusters=   1 | bound=1.000
[bone] tick= 44000 phase=release      | closure=0.57194 | force=942.544 | length=0.26416 | gap_L=0.0447 | gap_R=0.0813 | escape=0 | deflect=0.1283 | clusters=   1 | bound=1.000
[bone] tick= 44500 phase=release      | closure=0.54694 | force=344.293 | length=0.23973 | gap_L=0.0299 | gap_R=0.1578 | escape=0 | deflect=0.1316 | clusters=   1 | bound=1.000
[bone] tick= 45000 phase=release      | closure=0.52194 | force=441.182 | length=0.25640 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1322 | clusters=   1 | bound=1.000
[bone] tick= 45500 phase=release      | closure=0.49693 | force=498.200 | length=0.24236 | gap_L=0.0359 | gap_R=0.2004 | escape=0 | deflect=0.1270 | clusters=   1 | bound=1.000
[bone] tick= 46000 phase=release      | closure=0.47193 | force=222.093 | length=0.25139 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1294 | clusters=   1 | bound=1.000
