bmi,eye_frac_of_stature,foot_breadth_m,foot_length_m,hand_breadth_m,hand_circumference_m,hand_length_m,head_height_m,leg_frac_of_stature,mass_kg,stature_m,trochanterion_m,waist_frac_of_stature,waist_height_m
28.736375261368078,0.9209414604707302,0.098,0.254,0.088,0.20800000000000002,0.18,0.131,0.5135787567893784,78.9,1.657,0.851,0.5980687990343995,0.991
25.90650230680507,0.9178921568627451,0.10300000000000001,0.257,0.084,0.197,0.17400000000000002,0.134,0.5128676470588235,69.0,1.6320000000000001,0.837,0.5962009803921569,0.973
26.31032564010996,0.923342939481268,0.099,0.267,0.088,0.213,0.192,0.133,0.5256484149855908,79.2,1.735,0.912,0.6034582132564842,1.047
23.463651145522977,0.9258400926998841,0.08600000000000001,0.269,0.083,0.197,0.185,0.128,0.5196987253765932,69.9,1.726,0.897,0.5845886442641947,1.0090000000000001
34.401238217504954,0.9291422482685135,0.11,0.28300000000000003,0.089,0.212,0.20700000000000002,0.133,0.5183803942461375,121.2,1.877,0.973,0.6116142781033564,1.1480000000000001
24.657595030736342,0.9300476947535771,0.10300000000000001,0.289,0.089,0.215,0.20500000000000002,0.132,0.505564387917329,87.80000000000001,1.887,0.9540000000000001,0.5808161102278749,1.096
22.662889518413596,0.9303116147308782,0.099,0.28400000000000003,0.08600000000000001,0.21,0.2,0.123,0.5575070821529745,70.60000000000001,1.7650000000000001,0.984,0.6124645892351275,1.081
25.56885253397594,0.931957612939208,0.098,0.28,0.08700000000000001,0.21,0.196,0.122,0.5560513106525377,82.2,1.793,0.997,0.6218627997769102,1.115
29.016020528834527,0.9253650621957815,0.112,0.28800000000000003,0.093,0.225,0.203,0.138,0.5121687398593835,99.2,1.849,0.9470000000000001,0.5932936722552731,1.097
23.17270280002476,0.9304251794588625,0.1,0.263,0.091,0.221,0.197,0.126,0.5311982330204307,76.0,1.811,0.962,0.6140254003313087,1.112
32.67065041378966,0.9246693502012651,0.109,0.276,0.089,0.215,0.191,0.131,0.523289246693502,98.80000000000001,1.739,0.91,0.6009200690051754,1.045
27.280334006176357,0.9214628297362111,0.095,0.275,0.085,0.202,0.185,0.131,0.5377697841726619,75.9,1.668,0.897,0.6031175059952039,1.006
28.089325305666915,0.9289709172259508,0.101,0.27,0.09,0.215,0.196,0.127,0.5274049217002237,89.80000000000001,1.788,0.9430000000000001,0.6006711409395973,1.074
25.65182534715252,0.9266895761741123,0.10400000000000001,0.281,0.088,0.20800000000000002,0.20800000000000002,0.128,0.5664375715922108,78.2,1.746,0.989,0.629438717067583,1.099
27.134693877551022,0.9245714285714286,0.095,0.265,0.091,0.215,0.196,0.132,0.5348571428571428,83.10000000000001,1.75,0.936,0.5885714285714285,1.03
30.402002380879708,0.9270718232044199,0.108,0.28500000000000003,0.095,0.227,0.20600000000000002,0.132,0.5276243093922652,99.60000000000001,1.81,0.9550000000000001,0.6121546961325967,1.108
25.375329161109406,0.9216374269005848,0.095,0.26,0.083,0.197,0.188,0.134,0.5011695906432748,74.2,1.71,0.857,0.5877192982456141,1.0050000000000001
28.37537217026748,0.9285327558202491,0.098,0.28800000000000003,0.09,0.215,0.20400000000000001,0.132,0.5446670276123443,96.80000000000001,1.847,1.006,0.5993502977801841,1.107
27.929204953714056,0.9298729983434566,0.10200000000000001,0.276,0.084,0.20500000000000002,0.183,0.127,0.5151849806736609,91.60000000000001,1.811,0.933,0.5991165102153506,1.085
34.086605226612804,0.9269662921348315,0.10300000000000001,0.296,0.091,0.217,0.222,0.13,0.5398876404494382,108.0,1.78,0.961,0.601685393258427,1.071
26.027216276919013,0.9206896551724137,0.101,0.259,0.085,0.20700000000000002,0.188,0.138,0.5172413793103449,78.80000000000001,1.74,0.9,0.5890804597701149,1.025
29.388001829550216,0.9237618252643295,0.101,0.278,0.088,0.209,0.197,0.137,0.5186421814134669,94.9,1.797,0.932,0.6010016694490818,1.08
29.41534565466189,0.9253561253561253,0.1,0.28200000000000003,0.085,0.20400000000000001,0.189,0.131,0.5327635327635327,90.60000000000001,1.7550000000000001,0.935,0.6205128205128205,1.089
31.50637613602738,0.9229098805646037,0.11,0.28600000000000003,0.092,0.22,0.20500000000000002,0.14200000000000002,0.5374592833876222,106.9,1.842,0.99,0.6069489685124865,1.118
31.870638754696724,0.9269323671497585,0.10200000000000001,0.259,0.088,0.20700000000000002,0.18,0.121,0.5283816425120773,87.4,1.6560000000000001,0.875,0.6117149758454107,1.0130000000000001
27.867817141465792,0.9222972972972973,0.101,0.272,0.084,0.202,0.19,0.138,0.526463963963964,87.9,1.776,0.935,0.5822072072072072,1.034
33.39235349828308,0.9230769230769231,0.11800000000000001,0.28400000000000003,0.093,0.223,0.195,0.14300000000000002,0.5266272189349113,115.4,1.859,0.979,0.5911780527165142,1.099
27.824494360256757,0.9198813056379822,0.10200000000000001,0.266,0.096,0.226,0.19,0.135,0.5109792284866469,79.0,1.685,0.861,0.5916913946587538,0.997
28.153144217417175,0.9228169014084507,0.107,0.278,0.092,0.217,0.19,0.137,0.5329577464788733,88.7,1.7750000000000001,0.9460000000000001,0.6016901408450704,1.068
26.001125914805783,0.9282191780821918,0.106,0.29,0.092,0.22,0.211,0.131,0.5676712328767123,86.60000000000001,1.825,1.036,0.6328767123287671,1.155
